LAHONTAN,,,,,,,
YEAR,MONTH,STARTDAY,LENGTH,TD,T,S,RD
2000,1,1,31,-3.3,3.7,8.52,25.4
2000,2,1,29,-1.4,6.2,10.51,25.8
2000,3,1,31,-5.9,8.1,17.29,26.2
2000,4,1,30,-2.5,13.8,23.14,26.2
2000,5,1,31,-0.2,17.3,26.55,26.2
2000,6,1,30,1.4,23.8,28.84,26.1
2000,7,1,31,3.2,25.9,28.5,25.7
2000,8,1,31,14.3,24.7,22.8,24.7
2000,9,1,30,1.4,18.9,20.04,22.1
2000,10,1,31,-1.6,12.7,13.75,20.2
2000,11,1,30,-5.2,3,8.9,20.1
2000,12,1,31,-6.9,2.2,8.49,20.6
2001,1,1,31,-6.8,0,8.31,22.8
2001,2,1,28,-7.1,2.2,12.4,25.1
2001,3,1,31,-4.7,9.7,17.09,25.5
2001,4,1,30,-3.4,10.8,21.32,26.1
2001,5,1,31,0.1,20.8,27.21,26.1
2001,6,1,30,0.4,22.9,26.95,25.8
2001,7,1,31,4.6,26.3,26.38,25.3
2001,8,1,31,4.6,26.8,26.03,22.9
2001,9,1,30,3.2,22.2,20.8,20.5
2001,10,1,31,-1.1,15.8,14.57,20.1
2001,11,1,30,-1.4,7.4,9.28,20.2
2001,12,1,31,-2.5,2,5.92,20.4
2002,1,1,31,-4.8,1.3,8.24,22.0
2002,2,1,28,-6.2,4.8,12.42,23.0
2002,3,1,31,-7.8,6.5,17.23,25.1
2002,4,1,30,-3,13.3,22.22,25.5
2002,5,1,31,-1.2,16.1,27.33,26.0
2002,6,1,30,1.6,23.7,29.84,26.2
2002,7,1,31,5.6,28.8,27.41,25.5
2002,8,1,31,3.3,25.2,25.56,24.4
2002,9,1,30,1.6,20.8,20.31,21.2
2002,10,1,31,-2.8,12.2,15.35,20.1
2002,11,1,30,-6.1,6.5,10.27,20.1
2002,12,1,31,-5.5,3.3,7.16,21.3
2003,1,1,31,-0.4,6.3,8.5,23.2
2003,2,1,28,-6.6,3.2,12.34,25.3
2003,3,1,31,-5.7,9.9,17.01,25.5
2003,4,1,30,-3.5,9.1,20.79,26.1
2003,5,1,31,0.1,17.2,25.32,26.1
2003,6,1,30,1.2,24.8,29.74,26.1
2003,7,1,31,6.1,28.3,27.71,26.0
2003,8,1,31,6.9,25.3,24.07,25.4
2003,9,1,30,2.1,20.2,20.83,23.3
2003,10,1,31,-0.7,16.1,15.61,20.7
2003,11,1,30,-3.5,4.1,9.08,20.1
2003,12,1,31,-3.8,3,6.3,21.4
2004,1,1,31,-5.6,0.8,8.14,23.4
2004,2,1,29,-4.8,3.6,11.03,25.1
2004,3,1,31,-3.6,12,18.43,25.6
2004,4,1,30,-3.9,13.2,23.23,26.2
2004,5,1,31,-0.7,16.9,27.55,26.2
